Model,Actual,Predicted,Green_Score
LinearRegression,40,43.14835763169896,89.26070813313187
LinearRegression,90,259.04194359935457,40.51475473455901
LinearRegression,50,46.77413681053875,88.44205452611031
LinearRegression,50,116.16243399432622,72.77508282907264
LinearRegression,70,33.0804239547127,91.53391612881461
LinearRegression,120,193.15234205702586,55.391766628344854
LinearRegression,120,90.31408404555756,78.61130281858846
LinearRegression,70,176.04615605268884,59.25412012095698
LinearRegression,50,85.00591573147157,79.8098179301443
LinearRegression,70,146.1981229021357,65.99341636486625
LinearRegression,110,166.9738199470315,61.302535181739835
LinearRegression,70,114.23525503980146,73.21021467927059
LinearRegression,100,152.8688323576701,64.48725725042357
LinearRegression,110,118.13868487779342,72.32887117791311
LinearRegression,120,123.79769929499723,71.05113959628012
LinearRegression,50,43.16760285161343,89.25636281370568
LinearRegression,50,60.481535824590395,85.34710276754019
LinearRegression,50,54.58366491278697,86.67876502757899
LinearRegression,30,52.70244533431414,87.1035198506262
LinearRegression,140,163.01738348588407,62.19584688664801
LinearRegression,60,61.58120804162635,85.09881113624843
LinearRegression,60,91.05966935650383,78.44295938837885
LinearRegression,20,80.75323583533884,80.77001753545815
LinearRegression,40,69.10941550284511,83.39904016605232
LinearRegression,340,190.10168188450132,56.08056587144531
LinearRegression,70,110.60892579320176,74.02899248441165
LinearRegression,100,151.56222519710053,64.7822720906
LinearRegression,60,102.98866348222461,75.74954823798296
LinearRegression,60,59.730401280249716,85.51669914220957
LinearRegression,130,135.8093440052531,68.33906702283151
LinearRegression,60,181.09537329916424,58.114072780074736
LinearRegression,50,76.35775929796165,81.76245875827246
LinearRegression,50,107.9913457578179,74.62000788605019
LinearRegression,80,103.34805341714659,75.66840268221713
LinearRegression,40,89.32580485137471,78.83444335946415
LinearRegression,350,38.528220370652356,90.30387481459006
LinearRegression,100,177.42480541130814,58.942839092912465
LinearRegression,140,209.46462586304355,51.70866588837399
LinearRegression,50,67.97994577791167,83.65405968564542
LinearRegression,70,83.37590535820743,80.17785299398463
LinearRegression,50,57.71074590212386,85.97271096165312
LinearRegression,120,110.40986910305689,74.07393688652525
LinearRegression,60,63.64791931089643,84.63217471086041
LinearRegression,50,83.1052956432915,80.23895313502572
LinearRegression,50,71.58862821395351,82.83926629996374
LinearRegression,60,48.4870209172949,88.05530765509582
LinearRegression,20,51.21232875830883,87.43996872124377
LinearRegression,70,131.70227021122304,69.26639067105832
LinearRegression,40,82.05316813346943,80.4765097920856
LinearRegression,60,102.03900838398737,75.9639679621999
LinearRegression,60,74.30337131972507,82.22631274541551
LinearRegression,330,109.8732805551088,74.19509157593043
LinearRegression,70,132.218910648039,69.1497400047406
LinearRegression,50,76.10574072147404,81.81936126294845
LinearRegression,30,96.14924416439405,77.29379983696384
LinearRegression,270,257.21408537168816,40.92746126118261
LinearRegression,50,38.849510929014485,90.23133160069547
LinearRegression,240,169.2882006736224,60.779978226009526
LinearRegression,50,46.37347959144282,88.53251769593221
LinearRegression,40,65.85949189830777,84.13283049088129
LinearRegression,20,87.32888021360021,79.28532287446744
LinearRegression,40,53.329838558180256,86.96186265077895
LinearRegression,60,51.19108300164362,87.44476573575292
LinearRegression,20,73.53505252387855,82.39978909974869
LinearRegression,60,146.53849568399497,65.9165646340087
LinearRegression,60,96.98820295210814,77.10437389461389
LinearRegression,40,119.15012138469977,72.10050201812409
LinearRegression,100,94.75487822279469,77.60862946427821
LinearRegression,40,94.50050816301268,77.66606290318539
LinearRegression,60,186.3058341246812,56.93761874394699
LinearRegression,90,105.92708324599728,75.08609141397261
LinearRegression,50,70.39802839384724,83.10808819704384
LinearRegression,70,76.20324992558183,81.79734495756324
LinearRegression,50,72.64555716054025,82.60062554116122
LinearRegression,70,69.80632687668813,83.24168667544247
LinearRegression,60,162.78805263978904,62.24762679797099
LinearRegression,390,129.05327421061938,69.86449938753393
LinearRegression,60,70.04501236513097,83.1877946079945
LinearRegression,90,83.29194390171799,80.19681039481229
LinearRegression,80,75.9287448067902,81.85932462994819
LinearRegression,40,45.86718331011193,88.64683278697584
LinearRegression,150,121.77848197298356,71.507052508372
LinearRegression,60,57.416637537173315,86.03911679111651
LinearRegression,40,62.784835430740216,84.8270477841506
LinearRegression,50,101.62827288635019,76.05670667575279
LinearRegression,120,164.87467206444626,61.77649537098114
LinearRegression,60,38.10103385389981,90.4003279535047
LinearRegression,170,119.6586392293643,71.9856853270804
LinearRegression,120,142.9952513771463,66.71658294435943
LinearRegression,120,80.91282658010915,80.73398402861471
LinearRegression,50,97.79806805385857,76.92151692676042
LinearRegression,100,147.1758693551286,65.77265397945497
LinearRegression,30,92.78451433988513,78.05351190756177
LinearRegression,110,87.70522147024795,79.20034993154147
LinearRegression,90,125.91340782178213,70.57344022976412
LinearRegression,60,54.379856426311946,86.72478232327315
LinearRegression,50,121.30530192975488,71.61389038515735
LinearRegression,40,51.54340361250664,87.36521634107541
LinearRegression,40,85.88655128607617,79.61098191788632
LinearRegression,110,135.7214581855837,68.35891049363589
LinearRegression,90,76.61331942073102,81.70475661867803
LinearRegression,60,116.81494781686683,72.62775372597343
LinearRegression,440,172.03718503057806,60.15929344393526
LinearRegression,80,39.640098865579425,90.05282716509338
LinearRegression,60,122.92079810210808,71.24913243841176
LinearRegression,100,140.0494809392016,67.38169945464085
LinearRegression,60,58.074196097737975,85.89064865202637
LinearRegression,60,46.568304236335464,88.4885288343907
LinearRegression,130,258.05447331768875,40.73771263354804
LinearRegression,60,54.83936104041281,86.62103217986339
LinearRegression,60,145.56202739729628,66.13703842615615
LinearRegression,70,138.26086540352838,67.7855454936934
LinearRegression,90,86.74982896492253,79.4160650873818
LinearRegression,90,96.20544999315592,77.2811092945502
LinearRegression,50,44.58603274579164,88.93609986003409
LinearRegression,110,72.0446221798349,82.73630881509334
LinearRegression,50,70.51729229639506,83.08115996474055
LinearRegression,280,170.34186639843563,60.5420742600848
LinearRegression,40,83.01539001295063,80.25925265271275
LinearRegression,300,175.22474786537583,59.43958336684501
LinearRegression,40,90.66128021649595,78.53291045555056
LinearRegression,50,75.98081695323184,81.84756741904064
